"Status of existing checking account";"Duration in months";"Credit history";"Purpose";"Credit amount";"Savings account/bonds";"Present employment since";"Installment rate in percentage of disposable income";"Personal status and sex";"Other debtors / guarantors";"Present residence since";"Property";"Age in years";"Other installment plans";"Housing";"Number of existing credits at this bank";"Job";"Number of people being liable to provide maintenance for";"Telephone";"Foreign worker";"Score"
"0 - 200";30;"critical account/ other credits existing (not at this bank)";"car (new)";2181;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";4;"real estate";36;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";18;"critical account/ other credits existing (not at this bank)";"radio/television";1098;"less than 100";"Unemployed";4;"female (divorced/separated/married)";"none";4;"car or other";65;"none";"own";2;"unemployed / unskilled - non-resident";1;"none";"Yes";"good"
"0 - 200";24;"existing credits paid back duly till now";"furniture/equipment";4057;"less than 100";"4 to 7 years";3;"male (divorced/separated)";"none";3;"car or other";43;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"Negative";12;"existing credits paid back duly till now";"education";795;"less than 100";"less than 1 year";4;"female (divorced/separated/married)";"none";4;"building society savings agreement/ life insurance";53;"none";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"0 - 200";24;"critical account/ other credits existing (not at this bank)";"business";2825;"unknown / no savings account";"4 to 7 years";4;"male (single)";"none";3;"unknown / no property";34;"none";"own";2;"skilled employee / official";2;"yes, registered under the customers name";"Yes";"good"
"0 - 200";48;"existing credits paid back duly till now";"business";15672;"less than 100";"1 to 4 years";2;"male (single)";"none";2;"car or other";23;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";36;"critical account/ other credits existing (not at this bank)";"car (new)";6614;"less than 100";"more than 7 years";4;"male (single)";"none";4;"car or other";34;"none";"own";2;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";28;"all credits at this bank paid back duly";"car (used)";7824;"unknown / no savings account";"less than 1 year";3;"male (single)";"guarantor";4;"real estate";40;"bank";"rent";2;"skilled employee / official";2;"yes, registered under the customers name";"Yes";"good"
"Negative";27;"critical account/ other credits existing (not at this bank)";"business";2442;"less than 100";"more than 7 years";4;"male (single)";"none";4;"car or other";43;"stores";"own";4;"management / self-employed / highly qualified employee / officer";2;"yes, registered under the customers name";"Yes";"good"
"No checking account";15;"critical account/ other credits existing (not at this bank)";"radio/television";1829;"less than 100";"more than 7 years";4;"male (single)";"none";4;"car or other";46;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Negative";12;"critical account/ other credits existing (not at this bank)";"car (new)";2171;"less than 100";"1 to 4 years";4;"male (single)";"none";4;"building society savings agreement/ life insurance";38;"bank";"own";2;"unskilled - resident";1;"none";"No";"good"
"0 - 200";36;"critical account/ other credits existing (not at this bank)";"car (used)";5800;"less than 100";"1 to 4 years";3;"male (single)";"none";4;"car or other";34;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";18;"critical account/ other credits existing (not at this bank)";"radio/television";1169;"unknown / no savings account";"1 to 4 years";4;"male (single)";"none";3;"building society savings agreement/ life insurance";29;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";36;"delay in paying off in the past";"car (used)";8947;"unknown / no savings account";"4 to 7 years";3;"male (single)";"none";2;"car or other";31;"stores";"own";1;"management / self-employed / highly qualified employee / officer";2;"yes, registered under the customers name";"Yes";"good"
"Negative";21;"existing credits paid back duly till now";"radio/television";2606;"less than 100";"less than 1 year";4;"female (divorced/separated/married)";"none";4;"building society savings agreement/ life insurance";28;"none";"rent";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"furniture/equipment";1592;"more than 1000";"4 to 7 years";3;"female (divorced/separated/married)";"none";2;"building society savings agreement/ life insurance";35;"none";"own";1;"skilled employee / official";1;"none";"No";"good"
"No checking account";15;"existing credits paid back duly till now";"furniture/equipment";2186;"unknown / no savings account";"4 to 7 years";1;"female (divorced/separated/married)";"none";4;"real estate";33;"bank";"rent";1;"unskilled - resident";1;"none";"Yes";"good"
"Negative";18;"existing credits paid back duly till now";"furniture/equipment";4153;"less than 100";"1 to 4 years";2;"male (single)";"co-Applicant";3;"car or other";42;"none";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"Negative";16;"critical account/ other credits existing (not at this bank)";"car (new)";2625;"less than 100";"more than 7 years";2;"male (single)";"guarantor";4;"building society savings agreement/ life insurance";43;"bank";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";20;"critical account/ other credits existing (not at this bank)";"car (new)";3485;"unknown / no savings account";"less than 1 year";2;"male (divorced/separated)";"none";4;"real estate";44;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";36;"critical account/ other credits existing (not at this bank)";"car (used)";10477;"unknown / no savings account";"more than 7 years";2;"male (single)";"none";4;"unknown / no property";42;"none";"for free";2;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";15;"existing credits paid back duly till now";"radio/television";1386;"unknown / no savings account";"1 to 4 years";4;"male (married/widowed)";"none";2;"real estate";40;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";24;"existing credits paid back duly till now";"radio/television";1278;"less than 100";"more than 7 years";4;"male (single)";"none";1;"real estate";36;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"Negative";12;"existing credits paid back duly till now";"radio/television";1107;"less than 100";"1 to 4 years";2;"male (single)";"none";2;"real estate";20;"none";"rent";1;"management / self-employed / highly qualified employee / officer";2;"yes, registered under the customers name";"Yes";"good"
"Negative";21;"existing credits paid back duly till now";"car (new)";3763;"unknown / no savings account";"4 to 7 years";2;"male (single)";"co-Applicant";2;"real estate";24;"none";"own";1;"unskilled - resident";1;"none";"No";"good"
"0 - 200";36;"existing credits paid back duly till now";"education";3711;"unknown / no savings account";"1 to 4 years";2;"male (married/widowed)";"none";2;"car or other";27;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";15;"delay in paying off in the past";"car (used)";3594;"less than 100";"less than 1 year";1;"female (divorced/separated/married)";"none";2;"building society savings agreement/ life insurance";46;"none";"own";2;"unskilled - resident";1;"none";"Yes";"good"
"0 - 200";9;"existing credits paid back duly till now";"car (new)";3195;"unknown / no savings account";"1 to 4 years";1;"female (divorced/separated/married)";"none";2;"real estate";33;"none";"own";1;"unskilled - resident";1;"none";"Yes";"good"
"No checking account";36;"delay in paying off in the past";"radio/television";4454;"less than 100";"1 to 4 years";4;"female (divorced/separated/married)";"none";4;"real estate";34;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";24;"critical account/ other credits existing (not at this bank)";"furniture/equipment";4736;"less than 100";"less than 1 year";2;"female (divorced/separated/married)";"none";4;"car or other";25;"bank";"own";1;"unskilled - resident";1;"none";"Yes";"bad"
"0 - 200";30;"existing credits paid back duly till now";"radio/television";2991;"unknown / no savings account";"more than 7 years";2;"female (divorced/separated/married)";"none";4;"car or other";25;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";11;"existing credits paid back duly till now";"business";2142;"more than 1000";"more than 7 years";1;"male (divorced/separated)";"none";2;"real estate";28;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Negative";24;"all credits at this bank paid back duly";"business";3161;"less than 100";"1 to 4 years";4;"male (single)";"none";2;"building society savings agreement/ life insurance";31;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"0 - 200";48;"no credits taken / all credits paid back duly";"others";18424;"less than 100";"1 to 4 years";1;"female (divorced/separated/married)";"none";2;"building society savings agreement/ life insurance";32;"bank";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"No";"bad"
"No checking account";10;"existing credits paid back duly till now";"car (used)";2848;"100 to 500";"1 to 4 years";1;"male (single)";"co-Applicant";2;"real estate";32;"none";"own";1;"skilled employee / official";2;"none";"Yes";"good"
"Negative";6;"existing credits paid back duly till now";"car (new)";14896;"less than 100";"more than 7 years";1;"male (single)";"none";4;"unknown / no property";68;"bank";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"Negative";24;"existing credits paid back duly till now";"furniture/equipment";2359;"100 to 500";"Unemployed";1;"male (divorced/separated)";"none";1;"building society savings agreement/ life insurance";33;"none";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"Negative";24;"existing credits paid back duly till now";"furniture/equipment";3345;"less than 100";"more than 7 years";4;"male (single)";"none";2;"building society savings agreement/ life insurance";39;"none";"rent";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
